variable,HR_age_sex,HR_age_sex_low,HR_age_sex_up,HR_full,HR_full_low,HR_full_up,HR_full_ec,HR_full_low_ec,HR_full_up_ec
age18_40,0.05,0.04,0.08,0.07,0.05,0.1,0.08,0.05,0.13
age40_50,0.27,0.21,0.34,0.31,0.25,0.39,0.31,0.21,0.46
age50_60,1,1,1,1,1,1,1,1,1
age60_70,2.61,2.29,2.96,2.09,1.84,2.38,2.35,1.9,2.91
age70_80,7.61,6.78,8.54,4.77,4.23,5.38,5.55,4.54,6.77
age80_,26.27,23.52,29.33,12.64,11.19,14.28,13.43,10.95,16.45
female,1,1,1,1,1,1,1,1,1
male,2.24,2.12,2.36,1.99,1.88,2.1,2.18,1.99,2.38
bmi_not_obese,1,1,1,1,1,1,1,1,1
bmi_obeseI,1.57,1.47,1.68,1.27,1.18,1.36,1.39,1.25,1.54
bmi_obeseII,2.01,1.82,2.21,1.56,1.41,1.73,1.62,1.39,1.9
bmi_obeseIII,2.97,2.62,3.38,2.27,1.99,2.58,2.45,2,3.01
obese_1_2,1.69,1.57,1.83,1.35,1.24,1.46,1.45,1.29,1.64
obese_3,2.97,2.62,3.38,2.27,1.99,2.58,2.45,2,3.01
bp_not_high,1,1,1,1,1,1,1,1,1
bp_high,1.22,1.15,1.3,0.95,0.89,1.01,0.94,0.85,1.05
chronic_resp_dz,2.35,2.21,2.5,1.78,1.67,1.9,1.97,1.77,2.18
asthma_no_ocs,1.23,1.14,1.33,1.11,1.02,1.2,1.14,1.01,1.29
asthma_ocs,1.7,1.48,1.96,1.25,1.08,1.44,1.39,1.12,1.73
chronic_heart_dz,2.01,1.9,2.13,1.27,1.2,1.35,1.33,1.22,1.46
diabetes_contr,2.02,1.89,2.16,1.5,1.4,1.6,1.48,1.33,1.65
diabetes_uncontr,3.61,3.34,3.9,2.36,2.18,2.56,2.57,2.27,2.91
diabetes_no_measure,2.35,2.04,2.7,1.87,1.63,2.16,1.68,1.33,2.12
cancer_non_haem_1,1.83,1.51,2.21,1.56,1.29,1.89,1.51,1.1,2.05
cancer_non_haem_1_5,1.39,1.22,1.58,1.19,1.04,1.35,1.36,1.13,1.65
cancer_non_haem_5,1.03,0.94,1.12,0.97,0.88,1.06,0.92,0.79,1.06
haem_malig_1,4.03,2.76,5.88,3.52,2.41,5.14,2.6,1.3,5.22
haem_malig_1_5,3.59,2.88,4.48,3.12,2.5,3.89,3.67,2.66,5.06
haem_malig_5,2.13,1.76,2.59,1.88,1.55,2.29,1.64,1.18,2.28
liver_dz,2.34,1.94,2.83,1.61,1.33,1.95,1.86,1.4,2.47
stroke_dementia,2.34,2.18,2.51,1.79,1.67,1.93,1.61,1.43,1.81
neuro_other,2.94,2.62,3.3,2.46,2.19,2.76,2.28,1.88,2.76
kidney_dz,2.19,2.06,2.32,1.72,1.62,1.83,1.75,1.58,1.92
organ_transplant,7.79,5.88,10.33,4.27,3.2,5.7,2.62,1.51,4.57
spleen_dz,1.82,1.21,2.74,1.41,0.93,2.12,1.87,1.06,3.3
autoimmune_dz,1.35,1.24,1.48,1.23,1.12,1.35,1.31,1.14,1.51
immuno_other_dz,2.02,1.45,2.81,1.69,1.21,2.34,2.01,1.25,3.25
